price,boillinger_top,boillinger_bottom,klinger,rsi
0.017926,0.017965,0.017902,4.0,48.14
0.017925,0.017962,0.017903,1.0,47.46
0.017928,0.017961,0.017904,-2.0,49.71
0.017914,0.017961,0.017903,-4.0,40.42
0.017921,0.017961,0.017902,0.0,45.87
0.017917,0.017961,0.017902,-2.0,43.42
0.017916,0.017961,0.017901,-2.0,42.81
0.017906,0.017960,0.017900,-3.0,37.15
0.017911,0.017959,0.017900,3.0,41.33
0.017907,0.017958,0.017899,1.0,39.09
0.017897,0.017957,0.017897,-3.0,34.12
0.017906,0.017957,0.017896,1.0,41.35
0.017898,0.017957,0.017895,-2.0,37.42
0.017901,0.017957,0.017893,2.0,39.73
0.017907,0.017956,0.017893,5.0,44.18
0.017889,0.017957,0.017890,1.0,35.68
0.017895,0.017956,0.017889,-2.0,39.83
0.017896,0.017956,0.017887,3.0,40.52
0.017899,0.017954,0.017887,6.0,42.65
0.017906,0.017951,0.017888,9.0,47.37
0.017905,0.017947,0.017889,-8.0,46.78
0.017907,0.017945,0.017890,-3.0,48.17
0.017896,0.017944,0.017889,-8.0,41.69
0.017901,0.017944,0.017889,-3.0,45.30
0.017885,0.017944,0.017886,-7.0,37.34
0.017862,0.017946,0.017881,-11.0,29.36
0.017771,0.017964,0.017858,-65.0,15.37
0.017780,0.017974,0.017843,-15.0,19.46
0.017787,0.017980,0.017831,-23.0,22.59
0.017783,0.017986,0.017820,-10.0,22.06
0.017787,0.017990,0.017811,1.0,23.98
0.017794,0.017993,0.017804,9.0,27.34
0.017789,0.017995,0.017796,17.0,26.44
0.017770,0.017999,0.017787,13.0,23.30
0.017769,0.018000,0.017778,4.0,23.15
0.017777,0.018001,0.017771,9.0,27.33
0.017760,0.018002,0.017763,5.0,24.30
0.017738,0.018004,0.017753,-1.0,21.05
0.017761,0.018006,0.017745,7.0,31.38
0.017763,0.018006,0.017739,13.0,32.21
0.017791,0.018005,0.017735,16.0,42.68
0.017788,0.018004,0.017731,19.0,41.93
0.017765,0.018003,0.017726,13.0,36.64
0.017774,0.018001,0.017722,9.0,39.84
0.017763,0.017998,0.017717,7.0,37.35
0.017777,0.017996,0.017714,10.0,42.28
0.017766,0.017993,0.017710,6.0,39.64
0.017767,0.017989,0.017707,4.0,40.01
0.017725,0.017988,0.017700,-10.0,31.39
0.017735,0.017985,0.017695,-11.0,34.98
0.017742,0.017982,0.017691,-3.0,37.45
0.017767,0.017978,0.017689,2.0,45.42
0.017763,0.017973,0.017687,6.0,44.45
0.017765,0.017969,0.017685,10.0,45.08
0.017767,0.017964,0.017684,8.0,45.75
