price,sar,volume,volume_ema,klinger1,klinger2,rsi,signal
0.017640,0.017611,142,294,29,25,53.32,1
0.017590,0.017663,161,254,12,22,38.85,1
0.017598,0.017662,562,243,24,22,41.65,1
0.017637,0.017660,227,243,28,23,52.99,1
0.017638,0.017659,344,244,33,25,53.24,1
0.017633,0.017657,453,252,22,24,51.75,1
0.017679,0.017589,330,258,30,25,62.80,1
0.017652,0.017593,263,255,22,24,54.84,1
0.017642,0.017597,191,253,16,23,52.20,1
0.017651,0.017600,176,248,19,23,54.33,1
0.017642,0.017604,217,247,13,21,51.84,1
0.017650,0.017607,266,244,7,19,53.86,1
0.017624,0.017610,212,244,2,17,46.96,1
0.017627,0.017613,133,245,-1,14,47.79,1
0.017580,0.017687,398,261,-9,11,37.79,1
0.017560,0.017674,379,280,-21,3,34.33,1
0.017603,0.017666,427,295,-9,2,46.04,1
0.017584,0.017659,207,298,-12,-0,42.44,1
0.017606,0.017652,257,286,-5,-1,47.56,1
0.017598,0.017646,210,288,0,-1,45.96,1
0.017635,0.017546,222,270,10,1,54.00,1
0.017648,0.017551,354,271,17,4,56.53,1
0.017610,0.017555,369,267,8,4,48.19,1
0.017601,0.017559,228,269,3,4,46.45,1
0.017612,0.017563,513,278,-8,3,48.89,1
0.017601,0.017567,239,277,-1,2,46.60,1
0.017626,0.017571,220,279,4,2,52.08,1
0.017634,0.017574,141,277,7,3,53.72,1
0.017623,0.017578,127,272,4,3,51.13,1
0.017613,0.017581,128,266,2,3,48.83,1
0.017592,0.017584,324,271,-5,2,44.32,1
0.017597,0.017660,418,285,-13,-0,45.61,1
0.017599,0.017658,176,274,-7,-1,46.14,1
0.017590,0.017655,275,271,-12,-3,44.04,1
0.017599,0.017652,212,263,-6,-3,46.66,1
0.017569,0.017646,700,276,-20,-6,39.94,1
0.017565,0.017632,181,276,-24,-10,39.77,1
0.017612,0.017625,631,297,-8,-10,51.98,2
0.017610,0.017619,145,294,-3,-9,51.50,1
0.017797,0.017551,3.517,458,73,3,74.83,1
0.017785,0.017562,4.324,657,160,25,72.42,1
0.017793,0.017572,1.304,704,117,38,73.05,1
0.017804,0.017583,1.028,744,129,51,73.92,1
0.017769,0.017592,758,756,101,58,66.54,0
0.017752,0.017602,636,776,77,61,63.24,0
0.017762,0.017611,693,799,85,64,64.36,1
0.017779,0.017619,392,812,85,67,66.24,1
0.017777,0.017627,556,833,88,70,65.80,1
