price,ema,volume,volume_ema,klinger,rsi,signal
0.017520,0.017542,266,645,24.0,38.53,1
0.017560,0.017543,339,645,29.0,52.15,1
0.017591,0.017548,578,662,36.0,59.62,1
0.017593,0.017552,476,659,40.0,60.05,1
0.017604,0.017557,233,660,38.0,62.44,1
0.017597,0.017561,628,660,19.0,59.98,1
0.017598,0.017565,374,631,10.0,60.23,1
0.017611,0.017569,177,634,13.0,63.31,1
0.017635,0.017575,732,652,25.0,68.22,1
0.017653,0.017583,356,657,26.0,71.32,1
0.017625,0.017587,490,494,12.0,61.31,1
0.017629,0.017591,270,476,4.0,62.12,1
0.017626,0.017594,192,425,0.0,61.08,1
0.017639,0.017598,311,423,5.0,63.91,1
0.017619,0.017600,942,455,-12.0,57.04,0
0.017602,0.017600,911,482,-26.0,51.93,0
0.017591,0.017600,355,460,-27.0,48.88,1
0.017586,0.017598,296,464,-25.0,47.52,1
0.017600,0.017598,358,425,-11.0,51.60,1
0.017585,0.017597,605,444,-18.0,47.35,1
0.017570,0.017595,297,446,-18.0,43.49,1
0.017579,0.017593,194,439,-8.0,46.32,1
0.017569,0.017591,326,426,-10.0,43.70,1
0.017550,0.017587,1647.0,485,-35.0,39.18,1
0.017551,0.017583,218,484,-21.0,39.54,1
0.017503,0.017573,731,501,-28.0,29.84,1
0.017515,0.017567,543,520,-28.0,34.19,1
0.017505,0.017562,491,508,-26.0,32.39,1
0.017516,0.017557,343,507,-9.0,36.36,1
0.017542,0.017556,634,514,11.0,44.63,1
0.017545,0.017555,309,516,19.0,45.51,1
0.017548,0.017554,273,520,25.0,46.43,1
0.017556,0.017554,243,517,29.0,48.90,1
0.017555,0.017554,515,495,36.0,48.59,1
0.017541,0.017554,563,475,22.0,44.57,1
0.017544,0.017553,225,471,16.0,45.60,1
0.017552,0.017552,303,476,31.0,48.52,1
0.017579,0.017555,216,478,31.0,57.40,1
0.017575,0.017557,210,473,29.0,55.83,1
0.017555,0.017559,296,453,29.0,48.21,1
0.017554,0.017558,148,430,20.0,47.86,1
0.017548,0.017557,141,400,12.0,45.71,1
0.017538,0.017555,411,393,1.0,42.29,1
0.017543,0.017553,276,461,-23.0,44.58,1
0.017535,0.017551,663,462,-30.0,41.64,1
0.017543,0.017551,1287.0,511,0.0,45.51,1
0.017555,0.017551,261,511,5.0,50.79,1
0.017545,0.017550,202,508,0.0,46.73,1
0.017535,0.017549,279,497,-5.0,43.02,1
0.017542,0.017548,813,523,11.0,46.24,1
0.017537,0.017546,524,524,-7.0,44.31,1
0.017536,0.017544,219,552,9.0,43.98,1
0.017535,0.017543,298,556,1.0,43.47,1
0.017536,0.017542,5384.0,815,99.0,44.17,1
0.017540,0.017542,658,789,86.0,46.97,1
0.017524,0.017540,708,810,34.0,38.12,1
0.017489,0.017535,225,814,17.0,26.37,1
0.017492,0.017531,330,810,1.0,28.41,1
0.017499,0.017528,172,724,-2.0,33.06,1
0.017511,0.017526,177,719,-4.0,40.24,1
0.017521,0.017526,406,706,-2.0,45.48,1
0.017577,0.017531,644,674,5.0,64.34,2
0.017614,0.017539,756,699,11.0,71.39,1
0.017610,0.017545,329,705,8.0,69.78,1
