price,ema20,vol,vol_ema,sar,rsi
0.020119,0.020041,425,430,8.100000000000121e-05,75.80
0.020137,0.020050,847,462,8.099999999999774e-05,78.03
0.020152,0.020060,647,475,7.799999999999821e-05,79.70
0.020126,0.020066,1149.0,511,3.400000000000278e-05,69.76
0.020128,0.020077,377,507,8.999999999998592e-06,70.09
0.020142,0.020083,336,505,1.6999999999999654e-05,72.39
0.020169,0.020092,462,517,3.799999999999984e-05,76.18
0.020154,0.020098,481,525,-2.2000000000001185e-05,70.40
0.020152,0.020103,437,528,-2.2999999999998716e-05,69.64
0.020155,0.020108,314,521,-1.9000000000001654e-05,70.16
0.020165,0.020113,318,524,-8.000000000001062e-06,71.88
0.020164,0.020118,393,527,-7.999999999997592e-06,71.44
0.020150,0.020121,355,533,-2.1000000000000185e-05,65.34
0.020149,0.020124,745,554,-2.1000000000000185e-05,64.91
0.020154,0.020127,745,564,-1.5000000000001124e-05,66.10
0.020172,0.020131,1448.0,610,4.999999999999796e-05,70.04
0.020205,0.020138,1153.0,622,8.100000000000121e-05,75.64
0.020179,0.020142,480,629,5.3999999999998494e-05,65.29
0.020189,0.020146,731,614,6.199999999999956e-05,67.15
0.020197,0.020151,709,628,6.799999999999862e-05,68.60
0.020224,0.020158,768,624,9.099999999999733e-05,72.95
0.020240,0.020172,986,638,9.299999999999933e-05,75.29
0.020281,0.020182,1393.0,686,0.00012000000000000205,80.07
0.020349,0.020198,4510.0,893,0.00015099999999999836,85.18
0.020370,0.020214,914,922,0.00013999999999999777,86.35
0.020346,0.020227,975,948,8.700000000000027e-05,78.73
0.020306,0.020234,1650.0,1006.0,2.2000000000001185e-05,67.97
0.020283,0.020239,1801.0,1074.0,-0.00018500000000000114,62.66
0.020286,0.020243,895,1103.0,-0.00017800000000000107,63.07
0.020274,0.020246,1057.0,1140.0,-0.00018199999999999814,60.25
0.020294,0.020251,1105.0,1176.0,-0.00015400000000000136,63.20
0.020261,0.020252,436,1180.0,-0.0001799999999999996,55.84
0.020281,0.020255,455,1166.0,-0.00014899999999999983,58.96
0.020298,0.020259,474,1152.0,-0.00012099999999999958,61.45
0.020319,0.020265,345,1097.0,-8.99999999999998e-05,64.33
0.020282,0.020266,839,1081.0,-0.00011800000000000005,56.34
0.020312,0.020271,700,1092.0,-8.000000000000021e-05,60.61
0.020311,0.020274,612,1086.0,-7.300000000000015e-05,60.40
0.020317,0.020278,900,1096.0,-5.8999999999996555e-05,61.28
0.020321,0.020283,685,1091.0,-4.80000000000029e-05,61.88
0.020405,0.020294,1744.0,1124.0,0.00014799999999999883,71.84
0.020398,0.020304,2998.0,1224.0,0.00012799999999999964,70.19
0.020387,0.020312,1047.0,1207.0,0.00010499999999999746,67.57
0.020373,0.020318,540,1008.9999999999999,8.000000000000021e-05,64.29
