price,ema20,ema25,ema30,ema35,ema40,ema45,ema50,vol,vol_ema,predict
0.017579,0.017555,0.017557,0.017559,0.017561,0.017563,0.017564,0.017565,216,478,0.017549000000000002
0.017575,0.017557,0.017558,0.017560,0.017562,0.017563,0.017565,0.017566,210,473,0.017546000000000003
0.017555,0.017559,0.017559,0.017561,0.017562,0.017563,0.017565,0.017566,296,453,0.017544
0.017554,0.017558,0.017559,0.017560,0.017562,0.017563,0.017564,0.017565,149,430,0.0175428
0.017548,0.017557,0.017558,0.017559,0.017561,0.017562,0.017563,0.017565,141,400,0.0175417
0.017538,0.017555,0.017557,0.017558,0.017560,0.017561,0.017562,0.017564,411,393,0.017541499999999998
0.017544,0.017554,0.017556,0.017557,0.017559,0.017560,0.017562,0.017563,1906.0,464,0.017540800000000002
0.017543,0.017553,0.017555,0.017556,0.017558,0.017559,0.017561,0.017562,276,461,0.0175401
0.017535,0.017551,0.017553,0.017555,0.017557,0.017558,0.017560,0.017561,663,462,0.0175401
0.017543,0.017551,0.017552,0.017554,0.017556,0.017557,0.017559,0.017560,1287.0,511,0.0175394
0.017555,0.017551,0.017553,0.017554,0.017556,0.017557,0.017559,0.017560,261,511,0.0175379
0.017545,0.017550,0.017552,0.017554,0.017555,0.017557,0.017558,0.017559,202,508,0.0175373
0.017535,0.017549,0.017551,0.017552,0.017554,0.017556,0.017557,0.017558,279,497,0.0175362
0.017542,0.017548,0.017550,0.017552,0.017553,0.017555,0.017556,0.017558,813,523,0.0175309
0.017537,0.017547,0.017549,0.017551,0.017552,0.017554,0.017556,0.017557,295,510,0.0175264
0.017536,0.017545,0.017547,0.017549,0.017551,0.017552,0.017554,0.017555,1331.0,554,0.017522700000000002
0.017537,0.017545,0.017546,0.017548,0.017550,0.017552,0.017553,0.017555,384,558,0.0175201
0.017536,0.017544,0.017546,0.017547,0.017549,0.017551,0.017552,0.017554,219,552,0.017518600000000002
0.017535,0.017543,0.017545,0.017547,0.017548,0.017550,0.017552,0.017553,298,556,0.017522799999999998
0.017536,0.017542,0.017544,0.017546,0.017548,0.017549,0.017551,0.017553,5384.0,815,0.0175306
0.017540,0.017542,0.017544,0.017546,0.017547,0.017549,0.017551,0.017552,658,789,0.017537599999999997
0.017539,0.017542,0.017543,0.017545,0.017547,0.017548,0.017550,0.017552,165,782,0.0175459
0.017524,0.017540,0.017542,0.017544,0.017546,0.017547,0.017549,0.017550,708,810,0.0175547
