close_price,open_price,ema20,vol,vol_ema,sar,klinger
0.027852,0.027838,0.027644,1671.0,1486.0,0.00012,34.0
0.027846,0.027847,0.027663,3830.0,1652.0,0.0001,81.0
0.028112,0.027845,0.027706,4575.0,1858.0,0.00033,129.0
0.028087,0.028114,0.027742,4070.9999999999995,2027.0000000000002,0.00029,156.0
0.028120,0.028082,0.027778,2041.9999999999998,2082.0,0.00027,137.0
0.028130,0.028114,0.027812,1441.0,2136.0,0.00021,108.0
0.028207,0.028130,0.027849,1639.0,2190.0,0.00024,87.0
0.028303,0.028205,0.027893,3225.0,2305.0,0.00028,99.0
0.028465,0.028303,0.027947,3093.0,2433.0,0.00037,103.0
0.028380,0.028459,0.027988,2584.0,2453.0,0.00021,0.0
0.028355,0.028368,0.028023,4828.0,2583.0,0.00012,-122.0
0.028238,0.028354,0.028044,2276.0,2553.0,-0.00026,-170.0
0.028283,0.028232,0.028067,3799.0,2624.0,-0.00021,-232.0
0.028223,0.028289,0.028081,1706.0,2615.0,-0.00026,-239.0
0.028123,0.028221,0.028085,2389.0,2592.0,-0.00034,-254.0
0.028171,0.028118,0.028094,1257.0,2511.0,-0.00027,-242.0
0.028182,0.028165,0.028102,1072.0,2491.0,-0.00023,-186.0
