price,supertrendSell,supertrendBuy,rsi,ema
0.063349,n/a,0.06,83.64,0.062353
0.063534,n/a,0.06,100.00,0.062364
0.063703,n/a,0.06,100.00,0.062378
0.063873,n/a,0.06,100.00,0.062393
0.063787,n/a,0.06,93.13,0.062406
0.063794,n/a,0.06,86.46,0.062420
0.063476,n/a,0.06,56.16,0.062431
0.063561,n/a,0.06,35.15,0.062442
0.063518,n/a,0.06,11.12,0.062453
0.063200,0.06,n/a,8.07,0.062460
0.063125,0.06,n/a,2.62,0.062467
0.063184,0.06,n/a,2.10,0.062474
0.063188,0.06,n/a,4.34,0.062481
0.063175,0.06,n/a,6.13,0.062488
0.063142,0.06,n/a,4.63,0.062494
0.063421,0.06,n/a,13.23,0.062504
0.063597,0.06,n/a,27.26,0.062515
0.063613,0.06,n/a,45.66,0.062525
0.063418,0.06,n/a,44.82,0.062534
0.063292,0.06,n/a,37.76,0.062542
0.063355,0.06,n/a,31.82,0.062550
0.063392,0.06,n/a,37.41,0.062558
0.063532,0.06,n/a,53.36,0.062568
0.063418,0.06,n/a,56.12,0.062577
0.063573,0.06,n/a,65.71,0.062586
0.063533,0.06,n/a,62.89,0.062596
0.063530,0.06,n/a,68.70,0.062605
0.063273,0.06,n/a,45.35,0.062612
0.063199,0.06,n/a,23.47,0.062618
0.063066,0.06,n/a,1.84,0.062622
0.062908,0.06,n/a,0.00,0.062625
0.062911,0.06,n/a,0.21,0.062628
0.062823,0.06,n/a,0.21,0.062630
0.062881,0.06,n/a,4.11,0.062632
0.062883,0.06,n/a,7.94,0.062635
0.062950,0.06,n/a,16.71,0.062638
0.062907,0.06,n/a,19.57,0.062641
0.063004,0.06,n/a,29.13,0.062644
0.062999,0.06,n/a,34.66,0.062648
0.062817,0.06,n/a,32.60,0.062649
0.062739,0.06,n/a,20.99,0.062650
0.062707,0.06,n/a,6.70,0.062651
0.062651,0.06,n/a,1.99,0.062651
0.062457,0.06,n/a,0.00,0.062649
0.062673,0.06,n/a,23.03,0.062649
0.062801,0.06,n/a,56.36,0.062651
0.062780,0.06,n/a,88.32,0.062652
0.062632,0.06,n/a,88.14,0.062652
0.062834,0.06,n/a,88.14,0.062654
0.062822,0.06,n/a,88.83,0.062655
0.062794,0.06,n/a,96.99,0.062657
0.062816,0.06,n/a,96.26,0.062658
0.062872,0.06,n/a,96.94,0.062660
0.063023,0.06,n/a,99.27,0.062664
0.063133,0.06,n/a,100.00,0.062669
0.063127,0.06,n/a,99.69,0.062673
0.063109,0.06,n/a,98.42,0.062678
0.063108,0.06,n/a,96.35,0.062682
0.063173,n/a,0.06,96.65,0.062687
0.063345,n/a,0.06,97.93,0.062693
0.063367,n/a,0.06,100.00,0.062700
0.063260,n/a,0.06,89.95,0.062706
0.063324,n/a,0.06,83.50,0.062712
0.063351,n/a,0.06,78.56,0.062718
0.063607,n/a,0.06,88.62,0.062727
0.063672,n/a,0.06,95.06,0.062736
0.063598,n/a,0.06,91.54,0.062745
0.063609,n/a,0.06,82.35,0.062753
0.063388,n/a,0.06,49.02,0.062760
0.063459,n/a,0.06,29.24,0.062767
0.063375,n/a,0.06,5.10,0.062773
0.063511,n/a,0.06,14.04,0.062780
0.063390,n/a,0.06,8.94,0.062786
0.063412,n/a,0.06,10.39,0.062792
0.063192,n/a,0.06,1.46,0.062796
0.063263,n/a,0.06,5.02,0.062801
0.063246,n/a,0.06,6.29,0.062805
0.063177,n/a,0.06,6.29,0.062809
0.063343,n/a,0.06,11.13,0.062814
0.063526,n/a,0.06,27.31,0.062822
0.063531,n/a,0.06,46.46,0.062829
