price,ema20,vol,vol_ema,dif_sar,rsi
0.022358,0.022341,737,272,4.49999999999999e-05,54.28
0.022372,0.022344,521,286,5.6999999999998024e-05,57.63
0.022406,0.022350,3677.0,458,7.799999999999821e-05,64.45
0.022380,0.022353,472,468,4.000000000000184e-05,56.91
0.022383,0.022356,526,489,3.200000000000078e-05,57.53
0.022361,0.022356,1494.0,550,9.999999999975306e-07,51.68
0.022335,0.022354,1767.0,621,-0.0001899999999999992,45.76
0.022323,0.022351,531,641,-0.00019800000000000026,43.29
0.022336,0.022350,544,656,-0.0001799999999999996,46.64
0.022357,0.022350,403,664,-0.00015500000000000236,51.62
0.022354,0.022351,412,677,-0.00015400000000000136,50.89
0.022315,0.022347,442,687,-0.0001879999999999972,42.48
0.022277,0.022341,521,707,-0.00021699999999999844,36.20
0.022310,0.022338,346,718,-0.00017500000000000154,43.95
0.022314,0.022335,487,720,-0.00016199999999999895,44.82
0.022324,0.022334,218,711,-0.0001439999999999983,47.05
0.022347,0.022336,231,715,-0.00011300000000000199,51.86
0.022301,0.022332,424,719,-0.00015199999999999936,43.37
0.022335,0.022333,239,717,-0.00010999999999999899,49.90
0.022349,0.022334,139,707,-8.89999999999988e-05,52.33
0.022339,0.022335,132,676,-9.299999999999933e-05,50.45
0.022343,0.022335,211,661,-8.200000000000221e-05,51.20
0.022337,0.022336,140,484,-8.200000000000221e-05,49.97
0.022328,0.022335,324,476,-8.499999999999827e-05,48.10
0.022332,0.022335,113,456,-7.499999999999868e-05,49.01
0.022335,0.022335,157,389,-6.699999999999762e-05,49.73
0.022339,0.022335,263,314,-5.7999999999999025e-05,50.72
0.022342,0.022336,229,299,-4.900000000000043e-05,51.49
0.022368,0.022339,271,285,-1.9000000000001654e-05,57.69
0.022362,0.022341,232,277,-1.9999999999999185e-05,55.92
0.022363,0.022343,290,270,-1.4000000000000123e-05,56.16
0.022361,0.022345,224,260,-1.2000000000001593e-05,55.50
0.022345,0.022345,244,246,-2.3999999999999716e-05,50.42
0.022338,0.022344,841,270,-2.6999999999999247e-05,48.34
0.022372,0.022347,172,255,0.00010199999999999793,57.52
0.022384,0.022350,271,257,0.00010900000000000146,60.21
0.022386,0.022354,264,259,0.00010399999999999993,60.66
0.022369,0.022355,199,248,8.000000000000021e-05,55.00
0.022341,0.022354,520,262,4.49999999999999e-05,47.20
0.022324,0.022351,207,265,2.2000000000001185e-05,43.19
0.022336,0.022347,281,268,2.3000000000002185e-05,46.88
0.022328,0.022345,109,267,9.999999999999593e-06,44.79
0.022314,0.022342,143,258,-8.400000000000074e-05,41.32
0.022319,0.022340,105,257,-7.700000000000068e-05,43.02
0.022331,0.022339,104,255,-6.300000000000056e-05,46.98
0.022327,0.022338,353,259,-6.600000000000009e-05,45.84
0.022278,0.022332,1110.0,303,-0.00011000000000000246,34.68
0.022274,0.022327,429,311,-0.00010700000000000293,33.96
0.022268,0.022321,725,336,-0.00010299999999999893,32.84
0.022182,0.022308,3775.0,510,-0.00015400000000000136,21.82
0.022222,0.022300,1127.0,555,-8.200000000000221e-05,33.07
0.022211,0.022285,409,549,-3.799999999999984e-05,31.62
0.022195,0.022276,467,563,-3.0000000000002247e-05,29.59
0.022176,0.022267,284,564,-2.8000000000000247e-05,27.34
0.022169,0.022257,598,581,-1.6999999999999654e-05,26.54
0.022189,0.022251,627,602,0.00017400000000000054,32.61
0.022185,0.022245,226,588,0.00016199999999999895,32.04
0.022207,0.022241,204,587,0.00017600000000000254,38.42
0.022214,0.022238,243,593,0.000171000000000001,40.34
0.022210,0.022236,197,589,0.0001549999999999989,39.58
0.022221,0.022234,187,593,0.00015500000000000236,42.77
0.022194,0.022230,545,613,0.00011800000000000005,37.53
0.022198,0.022227,101,613,0.00011199999999999752,38.73
0.022217,0.022226,237,620,0.00012200000000000058,44.20
0.022227,0.022226,98,607,0.00012300000000000158,46.88
0.022237,0.022227,158,559,0.0001250000000000001,49.50
0.022260,0.022231,432,559,0.0001349999999999997,55.00
0.022273,0.022235,201,533,0.00013300000000000117,57.79
0.022274,0.022238,95,349,0.00011699999999999905,58.01
0.022277,0.022242,63,296,0.0001030000000000024,58.69
0.022268,0.022244,186,278,7.899999999999921e-05,55.76
0.022272,0.022247,245,270,7.000000000000062e-05,56.79
0.022210,0.022244,566,275,2.000000000002e-06,40.87
0.022235,0.022243,350,278,-4.599999999999743e-05,47.29
0.022203,0.022239,504,273,-7.400000000000115e-05,41.13
0.022217,0.022237,207,252,-5.6999999999998024e-05,44.53
0.022213,0.022235,273,255,-5.7000000000001494e-05,43.75
0.022232,0.022234,286,259,-3.500000000000031e-05,48.37
0.022234,0.022234,286,261,-2.9999999999998778e-05,48.84
0.022213,0.022232,460,274,-4.799999999999943e-05,44.24
0.022225,0.022232,176,273,-3.299999999999831e-05,47.30
0.022237,0.022232,240,258,-1.8000000000000654e-05,50.24
0.022220,0.022231,240,265,-3.200000000000078e-05,46.30
0.022226,0.022230,367,272,-2.3000000000002185e-05,47.85
0.022222,0.022230,184,276,-2.5000000000000716e-05,46.88
0.022217,0.022228,346,285,-2.8000000000000247e-05,45.63
0.022203,0.022226,236,276,-3.900000000000084e-05,42.23
0.022206,0.022224,140,273,-3.399999999999931e-05,43.20
0.022199,0.022222,155,276,-3.900000000000084e-05,41.44
0.022210,0.022221,215,283,-2.5999999999998247e-05,45.22
0.022214,0.022220,340,291,-1.9999999999999185e-05,46.57
